Id,SalePrice
1461,113954.49
1462,158612.9
1463,189674.38
1464,212979.61
1465,181694.2
1466,180831.86
1467,190448.81
1468,176854.05
1469,193439.31
1470,113250.05
1471,194332.08
1472,95538.62
1473,94650.73
1474,143582.75
1475,85930.3
1476,326176.94
1477,249503.16
1478,293871.8
1479,284395.38
1480,434473.34
1481,306847.72
1482,215571.7
1483,181702.45
1484,170895.22
1485,198987.86
1486,207340.52
1487,300990.47
1488,247238.73
1489,193228.0
1490,244316.83
1491,203803.7
1492,83775.22
1493,205431.28
1494,285928.0
1495,272427.9
1496,232214.05
1497,166879.92
1498,159168.14
1499,162777.36
1500,161893.61
1501,210170.86
1502,151379.45
1503,280876.8
1504,242391.95
1505,234111.77
1506,200442.45
1507,253653.53
1508,202929.14
1509,152890.64
1510,158694.16
1511,143840.03
1512,189679.72
1513,139846.81
1514,168017.25
1515,216692.28
1516,167463.17
1517,174517.72
1518,119090.375
1519,236857.0
1520,122856.38
1521,124652.75
1522,204222.1
1523,88884.52
1524,101795.53
1525,106158.89
1526,95863.46
1527,110950.58
1528,135996.5
1529,139871.66
1530,224158.25
1531,144156.72
1532,106631.56
1533,147640.78
1534,118334.11
1535,158204.8
1536,106826.13
1537,75108.47
1538,167314.53
1539,202460.23
1540,118933.52
1541,146249.53
1542,133419.11
1543,184846.27
1544,79707.21
1545,107852.92
1546,149539.75
1547,138736.9
1548,126925.875
1549,124057.695
1550,141695.08
1551,112889.26
1552,146844.83
1553,162144.88
1554,107263.516
1555,175648.66
1556,74903.25
1557,102391.31
1558,83843.59
1559,75153.77
1560,124564.96
1561,127885.09
1562,125979.44
1563,113888.984
1564,163328.62
1565,155454.47
1566,244005.86
1567,70452.8
1568,246773.11
1569,141045.1
1570,141508.81
1571,107441.97
1572,145196.9
1573,233592.36
1574,130045.52
1575,235787.62
1576,262605.6
1577,190047.8
1578,148813.62
1579,139287.95
1580,199030.11
1581,159917.05
1582,123629.43
1583,307164.75
1584,232583.8
1585,151979.64
1586,60624.3
1587,86820.45
1588,148388.27
1589,107032.266
1590,121012.53
1591,82162.89
1592,146065.53
1593,126248.99
1594,118160.99
1595,110831.336
1596,221081.9
1597,184369.86
1598,200383.7
1599,175388.98
1600,171913.56
1601,43415.594
1602,116246.46
1603,60103.402
1604,268596.3
1605,247913.22
1606,165057.3
1607,165493.92
1608,231116.39
1609,188462.78
1610,163245.14
1611,146530.98
1612,186694.02
1613,192398.66
1614,131277.19
1615,86977.2
1616,66035.375
1617,81563.336
1618,109584.086
1619,148905.11
1620,183018.33
1621,131673.89
1622,144364.03
1623,262610.7
1624,229918.11
1625,106706.76
1626,199979.67
1627,200677.58
1628,271959.1
1629,175548.61
1630,309572.12
1631,211928.11
1632,223816.33
1633,182070.61
1634,200762.8
1635,187273.2
1636,161060.75
1637,208807.36
1638,205077.39
1639,199898.02
1640,240698.61
1641,187698.08
1642,241598.64
1643,218937.95
1644,230430.45
1645,227412.7
1646,169194.77
1647,157978.8
1648,128450.44
1649,137253.5
1650,124892.53
1651,123634.77
1652,101629.164
1653,100472.41
1654,143095.4
1655,118911.85
1656,135527.95
1657,147831.6
1658,146421.61
1659,104208.414
1660,160731.58
1661,399827.4
1662,328317.56
1663,338755.72
1664,415317.53
1665,297432.22
1666,317078.88
1667,323339.34
1668,318518.3
1669,288183.22
1670,319556.03
1671,278550.9
1672,382608.62
1673,293964.9
1674,259066.73
1675,209972.61
1676,211933.7
1677,229827.98
1678,416267.25
1679,349808.53
1680,299018.7
1681,251563.14
1682,306654.28
1683,201295.95
1684,194414.45
1685,188723.11
1686,179371.86
1687,179911.73
1688,210489.36
1689,209209.5
1690,214283.77
1691,202550.39
1692,258032.11
1693,170461.27
1694,193644.8
1695,168109.6
1696,269216.62
1697,177105.08
1698,325205.22
1699,312845.2
1700,263459.5
1701,270223.2
1702,249501.73
1703,256882.67
1704,277820.66
1705,251703.7
1706,360065.8
1707,214661.47
1708,208919.64
1709,267947.62
1710,229559.58
1711,276265.28
1712,259507.88
1713,271362.72
1714,224456.14
1715,204516.95
1716,185365.84
1717,186502.75
1718,135009.67
1719,212928.7
1720,234124.05
1721,173401.61
1722,124233.75
1723,168497.98
1724,215612.72
1725,233502.14
1726,188819.58
1727,152515.55
1728,182270.64
1729,167900.39
1730,163932.5
1731,111478.336
1732,135758.06
1733,103102.17
1734,107757.14
1735,119915.76
1736,92224.086
1737,305820.22
1738,251487.7
1739,257984.36
1740,234340.81
1741,209743.45
1742,183283.39
1743,185608.36
1744,311824.38
1745,218387.45
1746,189951.53
1747,220677.8
1748,228547.8
1749,151681.14
1750,127095.28
1751,255733.08
1752,102263.3
1753,155576.75
1754,206415.36
1755,178474.14
1756,136077.42
1757,105194.78
1758,162653.05
1759,177678.14
1760,183630.6
1761,181310.8
1762,180345.94
1763,173825.67
1764,103348.24
1765,167452.88
1766,203660.0
1767,250167.81
1768,140681.62
1769,173874.56
1770,162615.78
1771,108902.57
1772,128203.0
1773,126999.6
1774,163153.12
1775,131051.18
1776,121510.12
1777,95967.49
1778,140237.69
1779,132152.23
1780,177740.12
1781,112701.76
1782,73506.305
1783,159005.05
1784,107136.36
1785,120719.13
1786,158629.45
1787,173271.72
1788,53128.582
1789,104164.82
1790,75119.19
1791,217330.27
1792,163207.84
1793,133515.17
1794,170720.73
1795,120159.47
1796,119858.76
1797,132761.47
1798,109114.914
1799,92014.43
1800,103341.82
1801,128434.445
1802,144369.64
1803,157939.86
1804,135440.22
1805,132165.78
1806,120417.88
1807,144430.7
1808,130371.28
1809,132548.42
1810,143931.9
1811,85955.11
1812,98256.45
1813,114111.88
1814,83755.82
1815,48086.82
1816,85071.33
1817,123216.06
1818,156228.45
1819,127887.695
1820,54335.12
1821,101128.78
1822,158476.08
1823,33809.215
1824,139217.4
1825,143925.1
1826,94297.125
1827,99730.83
1828,140565.42
1829,163764.56
1830,150153.9
1831,147209.53
1832,84613.92
1833,133350.36
1834,114926.664
1835,138044.05
1836,114824.55
1837,88201.69
1838,115107.35
1839,94132.36
1840,158368.25
1841,122708.44
1842,88514.7
1843,147789.52
1844,125478.11
1845,145174.03
1846,146557.45
1847,174625.38
1848,40477.55
1849,120476.02
1850,108651.64
1851,137038.81
1852,122845.89
1853,131395.61
1854,163720.33
1855,144677.95
1856,239604.47
1857,142839.31
1858,130364.59
1859,106209.86
1860,154450.78
1861,107541.15
1862,311402.84
1863,303895.1
1864,303910.22
1865,323507.0
1866,315398.84
1867,237582.08
1868,296700.7
1869,221665.23
1870,233756.95
1871,257270.48
1872,192967.92
1873,246531.66
1874,151350.17
1875,200869.9
1876,213497.36
1877,215086.52
1878,217118.89
1879,122176.3
1880,130217.79
1881,258023.64
1882,249341.45
1883,189655.7
1884,202878.64
1885,236266.55
1886,276034.8
1887,230941.6
1888,274511.53
1889,187494.98
1890,121642.766
1891,130026.055
1892,85312.38
1893,119878.04
1894,119546.625
1895,137724.9
1896,116774.46
1897,121043.21
1898,111263.31
1899,153450.6
1900,144708.3
1901,168357.4
1902,147296.16
1903,206931.42
1904,139841.06
1905,200840.55
1906,160928.17
1907,216977.8
1908,110868.9
1909,144021.95
1910,124285.03
1911,219486.52
1912,296665.7
1913,193810.27
1914,49964.504
1915,287017.94
1916,43136.11
1917,243478.33
1918,137030.5
1919,181156.86
1920,171280.58
1921,349172.7
1922,300265.4
1923,228263.64
1924,253447.84
1925,217023.48
1926,344794.4
1927,125192.2
